City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
144,San Rafael,AR,-34.6177,-68.3301,55.2,48,47,6.87,scattered clouds
145,Bandarbeyla,SO,9.4942,50.8122,78.8,83,90,23.24,overcast clouds
146,Kavieng,PG,-2.5744,150.7967,82.6,79,100,11.23,moderate rain
147,Murillo,CO,4.8739,-75.1715,55.89,95,94,1.79,overcast clouds
148,Lidkoping,SE,58.5052,13.1577,55.54,87,15,5.39,few clouds
149,Deputatskiy,RU,69.3,139.9,56.44,44,26,14.72,scattered clouds
150,Isangel,VU,-19.55,169.2667,77.11,73,75,8.46,broken clouds
151,Khandyga,RU,62.6667,135.6,54.36,74,100,8.1,light rain
152,Lorengau,PG,-2.0226,147.2712,82.24,83,100,10.65,light rain
153,Gilbues,BR,-9.8317,-45.3439,75.06,45,37,3.09,scattered clouds
154,Tiznit,MA,29.5833,-9.5,69.46,61,100,3.71,overcast clouds
155,Zharkent,KZ,44.1628,80.0,70.59,38,100,4.7,overcast clouds
156,Olafsvik,IS,64.8945,-23.7142,43.68,76,79,14.05,broken clouds
157,Ahmadpur East,PK,29.1431,71.2598,91.51,43,2,10.13,clear sky
158,Carbonia,IT,39.1672,8.5222,63.99,85,73,5.23,broken clouds
159,Rio Branco,BR,-9.9747,-67.81,79.41,89,40,2.57,scattered clouds
160,Krasnoselkup,RU,65.7,82.4667,43.68,95,100,6.06,light rain
161,Korla,CN,41.7597,86.1469,73.63,22,11,4.59,few clouds
162,Nipawin,CA,53.3668,-104.0009,69.84,19,1,4.61,clear sky
163,Saint-Joseph,RE,-21.3667,55.6167,70.18,76,27,5.39,scattered clouds
164,Baghdad,IQ,33.3406,44.4009,87.28,16,19,11.21,few clouds
165,Indio,US,33.7206,-116.2156,104.22,10,1,5.99,clear sky
166,Namtsy,RU,62.7161,129.6658,60.91,48,51,5.01,broken clouds
167,Yurimaguas,PE,-5.9,-76.0833,80.1,73,95,1.99,overcast clouds
168,Avera,US,33.194,-82.5271,76.66,48,0,2.55,clear sky
169,Wilmington,US,34.2257,-77.9447,61.95,80,90,11.5,overcast clouds
170,Carbondale,US,37.7273,-89.2168,69.8,47,1,6.91,clear sky
171,Yarmouth,US,41.7057,-70.2286,51.04,96,90,13.0,overcast clouds
172,Pisco,PE,-13.7,-76.2167,66.25,82,0,5.75,clear sky
173,Gazanjyk,TM,39.2446,55.5154,79.81,36,9,3.04,clear sky
174,Puerto Cabello,VE,10.4731,-68.0125,78.84,82,33,5.95,scattered clouds
175,Tura,IN,25.5198,90.2201,72.88,96,88,4.23,overcast clouds
176,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,88,20,8.46,few clouds
177,Santa Fe,AR,-31.6333,-60.7,57.02,54,0,3.0,clear sky
178,Russkiy Aktash,RU,55.0384,52.1214,45.75,84,72,10.76,broken clouds
179,Rawson,AR,-43.3002,-65.1023,54.25,63,100,27.04,overcast clouds
180,Victoria,HK,22.2855,114.1577,86.97,88,100,1.01,overcast clouds
181,Lamu,KE,-2.2717,40.902,77.22,79,40,12.86,scattered clouds
182,Tilichiki,RU,60.4667,166.1,44.65,69,96,1.41,overcast clouds
183,Villaviciosa,ES,43.4813,-5.4357,70.39,85,8,3.13,clear sky
184,Nhulunbuy,AU,-12.2333,136.7667,75.81,83,75,21.85,broken clouds
185,Kapiri Mposhi,ZM,-13.9652,28.6809,51.04,57,2,4.41,clear sky
186,Misratah,LY,32.3754,15.0925,70.38,72,12,5.08,few clouds
187,Limoges,FR,45.75,1.3333,59.56,51,0,2.98,clear sky
188,Samfya,ZM,-11.3649,29.5565,56.21,56,4,7.05,clear sky
189,Iquitos,PE,-3.7481,-73.2472,80.64,89,75,3.44,light rain
190,Elk Grove,US,38.4088,-121.3716,101.37,26,1,3.0,clear sky
191,Chernyshkovskiy,RU,48.4219,42.2308,64.13,95,45,0.0,scattered clouds
192,Omboue,GA,-1.5746,9.2618,76.42,91,97,9.01,overcast clouds
193,Esperance,AU,-33.8667,121.9,55.24,82,88,27.74,overcast clouds
194,Vao,NC,-22.6667,167.4833,69.76,57,91,15.5,overcast clouds
195,Sergeyevka,KZ,53.88,67.4158,63.63,84,76,6.49,broken clouds
196,Dawei,MM,14.0833,98.2,78.46,90,90,3.18,overcast clouds
197,Ilulissat,GL,69.2167,-51.1,32.34,92,63,13.15,broken clouds
198,Kodiak,US,57.79,-152.4072,49.51,76,90,10.36,overcast clouds
199,Komsomolskiy,UZ,40.4272,71.7189,71.02,56,35,0.0,scattered clouds
200,Roma,US,43.2128,-75.4557,53.04,89,90,3.44,light rain
201,Nikolskoye,RU,59.7035,30.7861,39.09,70,10,2.46,clear sky
202,Salym,RU,60.0625,71.4789,58.26,82,62,4.92,broken clouds
203,Tutoia,BR,-2.7619,-42.2744,78.98,85,14,8.84,few clouds
204,Katobu,ID,-4.9408,122.5276,79.88,79,83,3.0,broken clouds
205,Zhob,PK,31.3411,69.4481,77.92,26,3,0.89,clear sky
206,Bataipora,BR,-22.2953,-53.2711,64.87,97,93,2.51,moderate rain
207,Gamba,GA,-2.65,10.0,76.14,90,92,6.55,overcast clouds
208,Mana,GF,5.6592,-53.7767,77.7,89,97,8.41,overcast clouds
209,Gualaceo,EC,-2.9,-78.7833,58.35,98,96,3.33,light rain
210,West Wendover,US,40.7391,-114.0733,81.61,9,1,6.91,clear sky
211,Flinders,AU,-34.5833,150.8552,60.8,76,0,1.01,clear sky
212,Lokot,RU,52.565,34.5776,44.62,91,100,10.96,overcast clouds
213,Saint-Pierre,RE,-21.3393,55.4781,71.28,46,0,8.05,clear sky
214,Borogontsy,RU,62.6683,131.1683,56.08,55,65,5.53,broken clouds
215,Aldan,RU,58.6031,125.3894,59.38,50,33,8.01,scattered clouds
216,Antsohihy,MG,-14.8796,47.9875,69.6,93,5,2.06,clear sky
217,Canton,CN,23.1167,113.25,84.94,75,100,3.24,overcast clouds
218,Leningradskiy,RU,69.3833,178.4167,39.02,84,52,3.4,broken clouds
219,Mayumba,GA,-3.432,10.6554,76.41,90,98,5.88,overcast clouds
220,Podgorica,ME,42.4411,19.2636,60.51,71,75,1.14,broken clouds
221,Champerico,GT,14.3,-91.9167,85.35,71,34,7.85,scattered clouds
222,Nome,US,64.5011,-165.4064,54.16,43,40,14.97,scattered clouds
223,Butaritari,KI,3.0707,172.7902,83.07,77,72,13.33,light rain
224,Mandera,KE,3.9366,41.867,77.52,67,66,13.22,broken clouds
225,Manyana,BW,-23.4,21.7167,53.04,41,3,6.33,clear sky
226,Loralai,PK,30.3705,68.598,78.8,13,31,7.27,scattered clouds
227,Benguela,AO,-12.5763,13.4055,72.84,68,2,4.68,clear sky
228,Barinas,VE,8.6226,-70.2075,87.84,58,39,4.61,scattered clouds
229,Toamasina,MG,-18.1667,49.3833,68.0,94,40,3.44,scattered clouds
230,Pangnirtung,CA,66.1451,-65.7125,33.85,98,100,4.41,light rain
231,Baturaja,ID,-4.1333,104.1667,73.53,97,85,1.68,overcast clouds
232,Rocha,UY,-34.4833,-54.3333,41.25,71,23,5.61,few clouds
233,Airai,TL,-8.9266,125.4092,64.92,71,100,1.92,overcast clouds
234,Weligama,LK,5.9667,80.4167,80.1,86,99,14.58,overcast clouds
235,Taoudenni,ML,22.6783,-3.9836,102.76,9,100,6.71,overcast clouds
236,Okhotsk,RU,59.3833,143.3,42.73,79,92,7.02,overcast clouds
237,Cayenne,GF,4.9333,-52.3333,80.1,86,0,4.0,clear sky
238,Tocopilla,CL,-22.092,-70.1979,66.09,73,76,8.21,broken clouds
239,San Policarpo,PH,12.1791,125.5072,82.4,79,93,3.22,overcast clouds
240,Coihaique,CL,-45.5752,-72.0662,40.95,93,40,3.44,scattered clouds
241,Urumqi,CN,43.801,87.6005,68.95,26,0,1.74,clear sky
242,Garcia Hernandez,PH,9.6144,124.2946,80.92,80,99,4.29,heavy intensity rain
243,Paoua,CF,7.2427,16.4406,78.19,63,83,5.28,broken clouds
244,Bilibino,RU,68.0546,166.4372,57.47,31,65,2.53,broken clouds
245,Kholm,RU,59.2667,32.85,35.29,75,4,2.68,clear sky
246,Jeremie,HT,18.65,-74.1167,79.97,78,16,2.84,few clouds
247,Saint-Philippe,RE,-21.3585,55.7679,71.19,81,33,5.64,scattered clouds
248,Shimanovsk,RU,52.0,127.7,56.8,76,83,7.63,broken clouds
249,Klyuchi,RU,52.2667,79.1667,59.76,56,18,7.09,few clouds
250,Alta Floresta,BR,-9.8756,-56.0861,75.02,78,0,1.14,clear sky
251,Zihuatanejo,MX,17.6333,-101.55,86.05,67,22,6.06,few clouds
252,Tangping,CN,22.0265,111.9323,89.11,78,96,3.04,overcast clouds
253,Port Hawkesbury,CA,45.6169,-61.3485,50.09,85,75,5.01,broken clouds
254,Chiang Khong,TH,20.2613,100.4046,75.52,95,98,0.18,moderate rain
255,Makasar,ID,-5.14,119.4221,73.45,100,20,3.56,few clouds
256,Curup,ID,-3.4667,102.5333,67.73,96,57,0.98,broken clouds
257,Maragogi,BR,-9.0122,-35.2225,75.15,89,45,5.14,scattered clouds
258,Puerto Cabezas,NI,14.0351,-83.3888,85.96,74,40,6.91,scattered clouds
259,Naryan-Mar,RU,67.6713,53.087,33.15,77,50,10.83,scattered clouds
260,Bambous Virieux,MU,-20.3428,57.7575,72.21,94,20,8.3,light rain
261,Nassau,US,40.7507,-73.5829,51.73,91,90,1.01,overcast clouds
262,Cabo San Lucas,MX,22.8909,-109.9124,98.51,50,0,14.47,clear sky
263,Portland,US,45.5234,-122.6762,85.84,34,75,1.01,broken clouds
264,Vardo,NO,70.3705,31.1107,41.2,86,100,18.7,overcast clouds
265,Tupik,RU,54.4253,119.9327,49.95,91,100,4.94,light rain
266,Sabha,LY,27.0377,14.4283,85.14,19,0,12.66,clear sky
267,Hirara,JP,24.8,125.2833,80.46,94,75,5.75,broken clouds
268,Amapa,BR,1.0,-52.0,72.45,99,47,2.35,moderate rain
269,Dikson,RU,73.5069,80.5464,30.34,98,100,4.18,snow
270,Corinto,GR,37.9407,22.9573,70.75,76,80,4.27,broken clouds
271,Dalbandin,PK,28.8947,64.4101,85.28,10,0,3.71,clear sky
272,Abha,SA,18.2164,42.5053,67.82,55,0,3.91,clear sky
273,High Prairie,CA,55.4334,-116.4858,70.86,47,91,3.09,overcast clouds
274,Khasan,RU,42.4308,130.6434,53.1,94,94,10.69,overcast clouds
275,Hasaki,JP,35.7333,140.8333,73.18,63,21,12.35,few clouds
276,Sur,OM,22.5667,59.5289,90.41,38,87,11.25,overcast clouds
277,Cockburn Town,TC,21.4612,-71.1419,80.56,74,40,11.5,scattered clouds
278,Muyezerskiy,RU,63.9333,31.65,45.23,61,96,10.25,overcast clouds
279,Manono,CD,-7.3,27.4167,65.17,51,14,2.73,few clouds
280,Beringovskiy,RU,63.05,179.3167,38.82,73,35,12.64,scattered clouds
281,Muros,ES,42.7762,-9.0603,66.83,74,22,7.07,few clouds
282,Cidreira,BR,-30.1811,-50.2056,50.65,58,24,6.4,few clouds
283,Provideniya,RU,64.3833,-173.3,51.91,50,0,20.13,clear sky
284,Hovd,MN,48.0056,91.6419,49.32,31,14,2.39,few clouds
285,Dunedin,NZ,-45.8742,170.5036,50.81,86,100,7.0,light rain
286,Sola,VU,-13.8833,167.55,77.67,89,90,6.91,overcast clouds
287,Nago,JP,26.5881,127.9761,77.07,91,100,19.82,overcast clouds
288,Huamachuco,PE,-7.8,-78.0667,51.17,85,93,0.56,overcast clouds
289,Paramonga,PE,-10.6667,-77.8333,65.53,88,61,8.28,broken clouds
290,Kalabo,ZM,-14.97,22.6814,54.3,37,1,4.54,clear sky
291,Nouakchott,MR,18.0858,-15.9785,69.73,72,65,20.78,broken clouds
292,Fortuna,US,40.5982,-124.1573,84.18,63,78,1.99,broken clouds
293,Mehamn,NO,71.0357,27.8492,42.15,97,100,23.0,overcast clouds
294,Mikkeli,FI,61.6886,27.2723,44.15,81,0,2.3,clear sky
295,Palmer,US,42.1584,-72.3287,48.85,84,90,1.99,overcast clouds
296,Fairbanks,US,64.8378,-147.7164,67.24,37,1,8.05,clear sky
297,Luderitz,NA,-26.6481,15.1594,57.15,66,0,16.2,clear sky
298,Frontera,MX,26.9333,-101.45,88.95,40,75,13.58,broken clouds
299,Yagodnoye,RU,62.55,149.6667,48.47,58,100,4.81,overcast clouds
300,Torrington,US,41.8007,-73.1212,48.67,96,100,5.01,light rain
301,Riyadh,SA,24.6877,46.7219,91.45,15,0,0.0,clear sky
302,Huilong,CN,31.8111,121.655,75.04,71,94,12.5,overcast clouds
303,Usogorsk,RU,63.4106,48.6872,31.86,84,15,4.18,few clouds
304,Rapid Valley,US,44.0625,-103.1463,71.19,33,75,1.01,broken clouds
305,Suining,CN,30.508,105.5733,76.86,62,100,3.31,overcast clouds
306,Andenes,NO,69.3143,16.1194,46.08,93,90,21.85,overcast clouds
307,Maloy,NO,61.9353,5.1136,50.74,94,18,6.69,few clouds
308,Manado,ID,1.487,124.8455,79.57,94,40,1.72,scattered clouds
309,Galesong,ID,-5.3166,119.3661,73.42,76,47,4.36,scattered clouds
310,Shache,CN,38.4167,77.2406,75.96,28,100,3.51,overcast clouds
311,Tvoroyri,FO,61.5556,-6.8111,51.19,90,0,21.36,clear sky
312,Sobolevo,RU,54.4299,31.8996,40.24,70,90,8.21,overcast clouds
313,Bathsheba,BB,13.2167,-59.5167,81.21,65,40,17.67,scattered clouds
314,Iqaluit,CA,63.7506,-68.5145,38.93,80,75,3.0,broken clouds
315,Joao Pinheiro,BR,-17.7425,-46.1725,73.62,50,60,3.27,broken clouds
316,Leticia,CO,-4.2153,-69.9406,77.05,100,90,3.44,light rain
317,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.6,88,60,5.91,light rain
318,Mabaruma,GY,8.2,-59.7833,73.13,99,100,1.41,overcast clouds
319,Mezen,RU,65.8522,44.24,36.84,77,96,7.4,overcast clouds
320,Bulungu,CD,-4.55,18.6,72.52,60,100,2.04,overcast clouds
321,Chuy,UY,-33.6971,-53.4616,43.79,73,5,6.76,clear sky
322,Valencia,ES,39.3333,-0.8333,66.22,57,100,1.97,overcast clouds
323,Tromso,NO,69.6496,18.957,45.25,93,75,1.01,broken clouds
324,Uruzgan,AF,32.8333,66.0,69.33,22,0,7.58,clear sky
325,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,74.46,97,98,3.13,overcast clouds
326,High Rock,BS,26.6208,-78.2833,82.42,73,48,10.69,scattered clouds
327,Buraydah,SA,26.326,43.975,93.65,13,15,6.49,few clouds
328,Westport,US,41.1415,-73.3579,51.75,93,90,3.0,moderate rain
329,Rosetta,EG,31.4044,30.4164,76.82,48,3,9.51,clear sky
330,La Ronge,CA,55.1001,-105.2842,70.05,23,75,9.22,broken clouds
331,Lompoc,US,34.6391,-120.4579,82.02,73,1,17.27,clear sky
332,Quito,EC,-0.2299,-78.5249,53.46,93,99,1.34,light rain
333,Longyearbyen,SJ,78.2186,15.6401,33.64,75,90,8.05,overcast clouds
334,Liwale,TZ,-9.7667,37.9333,67.06,87,83,1.19,broken clouds
335,Vestmannaeyjar,IS,63.4427,-20.2734,45.1,79,39,13.2,scattered clouds
336,San Jose,US,37.3394,-121.895,99.27,35,20,1.01,few clouds
337,Kalach-Na-Donu,RU,48.691,43.5264,65.52,95,74,9.66,broken clouds
338,Aksarka,RU,66.5606,67.7975,36.72,62,7,13.33,clear sky
339,Notre-Dame-Du-Lac,CA,47.6136,-68.7964,61.14,59,90,5.1,overcast clouds
340,Soure,BR,-0.7167,-48.5233,78.62,84,14,8.5,few clouds
341,Luba,GQ,3.4568,8.5547,80.49,86,98,9.17,moderate rain
342,Auki,SB,-8.7676,160.7034,84.49,69,64,2.64,broken clouds
343,Narsaq,GL,60.9167,-46.05,42.4,67,2,0.25,clear sky
344,Constitucion,CL,-35.3333,-72.4167,54.72,74,97,6.8,overcast clouds
345,Novyy Urengoy,RU,66.0833,76.6333,39.78,62,97,13.51,overcast clouds
346,College,US,64.8569,-147.8028,67.23,38,75,8.05,broken clouds
347,Morgan City,US,29.6994,-91.2068,80.98,72,64,3.87,broken clouds
348,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,86,90,15.68,overcast clouds
