City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Khani,GE,2021-05-28 20:42:54,41.9563,42.9566,53.17,85,57,6.44
114,Airai,TL,2021-05-28 20:42:54,-8.9266,125.4092,58.05,95,89,3.53
115,Butaritari,KI,2021-05-28 20:42:55,3.0707,172.7902,81.66,81,61,12.59
116,Namatanai,PG,2021-05-28 20:42:55,-3.6667,152.4333,79.93,82,91,11.27
117,Deputatskiy,RU,2021-05-28 20:42:55,69.3,139.9,44.44,58,9,9.37
118,Carnarvon,AU,2021-05-28 20:39:49,-24.8667,113.6333,68.07,100,40,4.61
119,Qaanaaq,GL,2021-05-28 20:42:56,77.484,-69.3632,40.71,88,100,3.91
120,Tevaitoa,PF,2021-05-28 20:42:56,-16.7833,-151.5,79.83,71,40,5.37
121,Kamenka,RU,2021-05-28 20:42:57,51.3223,42.7678,61.81,63,95,6.62
122,Kalmunai,LK,2021-05-28 20:42:57,7.4167,81.8167,80.73,79,96,6.78
123,Platteville,US,2021-05-28 20:42:57,42.7342,-90.4785,48.96,100,90,14.97
124,Los Llanos De Aridane,ES,2021-05-28 20:42:58,28.6585,-17.9182,64.15,88,0,11.54
125,Saint-Augustin,CA,2021-05-28 20:42:58,51.226,-58.6502,49.17,38,96,17.45
126,Chara,RU,2021-05-28 20:42:58,56.9064,118.2631,46.51,84,73,1.86
127,Torbay,CA,2021-05-28 20:42:59,47.6666,-52.7314,50.77,50,20,25.32
128,Svetlogorsk,BY,2021-05-28 20:42:59,52.6333,29.7333,55.49,93,97,6.93
129,Coahuayana,MX,2021-05-28 20:43:00,18.7333,-103.6833,91.96,45,100,7.94
130,Tadian,PH,2021-05-28 20:43:00,16.9956,120.8203,65.32,92,78,3.0
131,Vila Franca Do Campo,PT,2021-05-28 20:43:00,37.7167,-25.4333,63.01,71,100,5.37
132,Rietberg,DE,2021-05-28 20:43:01,51.8,8.4333,55.98,92,83,4.18
133,Bengkulu,ID,2021-05-28 20:43:01,-3.8004,102.2655,75.74,89,89,0.72
134,Alghero,IT,2021-05-28 20:40:12,40.5589,8.3181,62.69,94,20,3.44
135,Burnie,AU,2021-05-28 20:43:02,-41.0667,145.9167,36.95,75,1,4.25
136,Jamestown,US,2021-05-28 20:43:02,42.097,-79.2353,49.3,94,90,8.01
137,Lao Cai,VN,2021-05-28 20:43:02,22.4833,103.95,77.22,97,36,1.34
138,Otukpo,NG,2021-05-28 20:43:03,7.1913,8.1329,76.93,87,88,8.01
139,Barrow,US,2021-05-28 20:43:03,71.2906,-156.7887,30.22,74,90,6.91
140,Churapcha,RU,2021-05-28 20:43:03,62.0025,132.4325,54.09,58,19,5.14
141,Syedove,UA,2021-05-28 20:43:04,47.0768,38.156,65.55,84,18,12.01
142,Santa Maria,BR,2021-05-28 20:38:50,-29.6842,-53.8069,60.1,100,90,2.64
143,Gizo,SB,2021-05-28 20:43:04,-8.103,156.8419,78.75,87,100,11.45
144,Petropavlovsk-Kamchatskiy,RU,2021-05-28 20:43:05,53.0452,158.6483,45.19,66,20,4.61
145,Aban,RU,2021-05-28 20:43:05,56.67,96.06,34.2,81,59,9.91
146,Tasiilaq,GL,2021-05-28 20:43:05,65.6145,-37.6368,37.56,94,100,11.95
147,Amos,CA,2021-05-28 20:43:06,48.5669,-78.1162,54.18,24,1,8.39
148,Wajima,JP,2021-05-28 20:43:06,37.4,136.9,61.39,88,81,15.64
149,Bambous Virieux,MU,2021-05-28 20:43:06,-20.3428,57.7575,72.21,94,40,8.59
150,Saint George,US,2021-05-28 20:43:07,37.1041,-113.5841,97.27,11,1,5.99
151,Sorland,NO,2021-05-28 20:43:07,67.667,12.6934,44.67,78,15,4.07
152,Teupasenti,HN,2021-05-28 20:43:07,14.2167,-86.7,89.06,29,99,6.89
153,Kodiak,US,2021-05-28 20:43:08,57.79,-152.4072,53.11,71,90,10.36
154,Monroe,US,2021-05-28 20:43:08,43.1501,-77.6831,44.44,93,90,16.11
155,Kavaratti,IN,2021-05-28 20:43:08,10.5669,72.642,83.23,75,87,18.05
156,Saint-Philippe,RE,2021-05-28 20:43:08,-21.3585,55.7679,69.39,74,35,3.36
157,Athens,GR,2021-05-28 20:41:18,37.9795,23.7162,75.18,60,20,1.99
158,Kibaya,TZ,2021-05-28 20:43:09,-5.3,36.5667,54.93,98,22,3.67
159,George Town,MY,2021-05-28 20:40:59,5.4112,100.3354,80.89,93,20,1.01
160,Kaeo,NZ,2021-05-28 20:43:10,-35.1,173.7833,54.32,96,83,15.05
161,Doha,QA,2021-05-28 20:39:52,25.2867,51.5333,89.91,40,0,2.3
162,Riverton,US,2021-05-28 20:43:11,40.5219,-111.9391,85.01,21,1,5.99
163,Viedma,AR,2021-05-28 20:41:56,-40.8135,-62.9967,48.56,52,100,20.51
164,Kutum,SD,2021-05-28 20:43:11,14.2,24.6667,82.33,11,50,9.66
165,Inuvik,CA,2021-05-28 20:43:12,68.3499,-133.7218,32.76,69,90,9.22
166,Lyantonde,UG,2021-05-28 20:43:12,-0.4031,31.1572,63.5,91,67,0.72
167,Husavik,IS,2021-05-28 20:43:12,66.0449,-17.3389,57.11,59,14,14.85
168,Xining,CN,2021-05-28 20:43:13,36.6167,101.7667,53.85,69,100,3.15
169,Esperance,AU,2021-05-28 20:43:13,-33.8667,121.9,62.44,64,100,13.71
170,Geraldton,AU,2021-05-28 20:43:13,-28.7667,114.6,66.61,88,90,12.95
171,Northam,GB,2021-05-28 20:43:14,51.0333,-4.2167,58.3,84,100,5.23
172,Avera,US,2021-05-28 20:43:14,33.194,-82.5271,93.07,39,89,9.89
173,Pinawa,CA,2021-05-28 20:43:14,50.1489,-95.8811,64.17,26,6,11.92
174,Ribeira Grande,PT,2021-05-28 20:43:15,38.5167,-28.7,64.8,72,20,10.36
175,Coruripe,BR,2021-05-28 20:43:15,-10.1256,-36.1756,75.96,73,20,8.41
176,Keningau,MY,2021-05-28 20:43:15,5.3378,116.1602,75.65,99,93,1.72
177,Hasaki,JP,2021-05-28 20:43:16,35.7333,140.8333,70.29,87,100,20.07
178,Pisco,PE,2021-05-28 20:43:16,-13.7,-76.2167,66.25,88,90,9.22
179,Callaguip,PH,2021-05-28 20:43:17,18.0714,120.4867,82.31,74,91,4.34
180,Fairbanks,US,2021-05-28 20:43:17,64.8378,-147.7164,49.1,44,90,11.5
181,Sunbury,AU,2021-05-28 20:43:17,-37.5833,144.7333,50.63,70,90,8.32
182,Agadez,NE,2021-05-28 20:43:18,19.75,10.25,88.2,9,98,2.46
183,Upington,ZA,2021-05-28 20:43:18,-28.4478,21.2561,52.18,50,2,3.44
184,La Ronge,CA,2021-05-28 20:43:19,55.1001,-105.2842,66.45,45,20,14.97
185,Mount Gambier,AU,2021-05-28 20:43:19,-37.8333,140.7667,33.71,100,0,0.0
186,East Grinstead,GB,2021-05-28 20:43:19,51.1238,-0.0061,59.92,77,20,5.75
187,Asyut,EG,2021-05-28 20:43:19,27.181,31.1837,87.98,17,0,10.27
188,Nautla,MX,2021-05-28 20:43:20,20.2167,-96.7833,87.71,65,100,15.41
189,Calama,CL,2021-05-28 20:43:20,-22.4667,-68.9333,66.69,27,75,16.11
190,Lavrentiya,RU,2021-05-28 20:43:20,65.5833,-171.0,32.32,83,9,11.88
191,Auki,SB,2021-05-28 20:43:21,-8.7676,160.7034,77.29,86,100,3.62
192,Lebu,CL,2021-05-28 20:43:21,-37.6167,-73.65,54.14,86,98,7.87
193,Tabou,CI,2021-05-28 20:43:21,4.423,-7.3528,80.53,84,90,7.9
194,Karratha,AU,2021-05-28 20:43:22,-20.7377,116.8463,74.75,72,99,9.64
195,Kachkanar,RU,2021-05-28 20:43:22,58.7,59.4948,50.7,87,99,3.2
196,Kahului,US,2021-05-28 20:43:22,20.8947,-156.47,84.22,62,40,20.71
197,Kirkwall,GB,2021-05-28 20:40:41,58.9848,-2.9587,46.74,81,90,8.05
198,Sola,VU,2021-05-28 20:43:23,-13.8833,167.55,77.43,66,100,11.03
199,Knysna,ZA,2021-05-28 20:43:23,-34.0363,23.0471,62.98,85,14,10.71
200,Travesia,HN,2021-05-28 20:43:24,15.8667,-87.9,93.49,72,16,10.2
201,Port Blair,IN,2021-05-28 20:43:24,11.6667,92.75,81.41,84,97,6.31
202,Bandarbeyla,SO,2021-05-28 20:43:25,9.4942,50.8122,79.68,81,6,23.02
203,Buta,CD,2021-05-28 20:43:25,2.7858,24.73,70.36,98,98,1.79
204,Jiangkou,CN,2021-05-28 20:43:26,25.4872,119.1986,75.09,82,100,4.16
205,Sayat,TM,2021-05-28 20:43:26,38.7839,63.8803,84.07,16,44,13.78
206,Saldanha,ZA,2021-05-28 20:43:27,-33.0117,17.9442,59.05,90,19,3.87
207,Aklavik,CA,2021-05-28 20:43:27,68.2191,-135.0107,32.72,80,90,11.5
208,San Quintin,MX,2021-05-28 20:43:27,30.4833,-115.95,64.9,66,13,14.85
209,Heers,BE,2021-05-28 20:43:28,50.75,5.3,58.33,67,0,7.54
210,Yabelo,ET,2021-05-28 20:43:28,4.8833,38.0833,58.93,85,91,5.93
211,Ust-Maya,RU,2021-05-28 20:43:28,60.4167,134.5333,51.55,69,76,3.44
212,Pingliang,CN,2021-05-28 20:43:29,35.5392,106.6861,61.21,62,100,3.04
213,Katsuura,JP,2021-05-28 20:43:29,35.1333,140.3,71.71,89,100,18.88
