Hotel_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
645,Bagalkot,IN,77.83,overcast clouds,16.1833,75.7,
649,Bandar-E Lengeh,IR,90.54,clear sky,26.5579,54.8807,
653,Punto Fijo,VE,80.01,few clouds,11.6956,-70.1996,
655,Monte Alegre,BR,77.97,overcast clouds,-2.0078,-54.0692,
657,Thinadhoo,MV,83.03,few clouds,0.5333,72.9333,
658,Sinnamary,GF,77.72,broken clouds,5.3833,-52.95,
659,Kununurra,AU,75.18,broken clouds,-15.7667,128.7333,
660,Djenne,ML,97.77,broken clouds,13.9061,-4.5533,
663,Ranong,TH,76.93,overcast clouds,9.9658,98.6348,
664,El Tigre,VE,81.41,broken clouds,8.8875,-64.2454,
665,Bara,NG,84.61,broken clouds,10.3744,10.7288,
666,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,
667,Parakou,BJ,75.36,overcast clouds,9.3372,2.6303,
668,Meulaboh,ID,75.65,overcast clouds,4.1363,96.1285,
674,Bartica,GY,79.12,heavy intensity rain,6.4,-58.6167,
677,Gambela,ET,75.76,clear sky,8.25,34.5833,
679,Biak,ID,78.85,overcast clouds,-0.9131,122.8766,
685,Itarema,BR,78.39,clear sky,-2.9248,-39.9167,
686,Usta Muhammad,PK,93.85,clear sky,28.1794,68.0445,
687,Labuan,MY,80.76,few clouds,5.2767,115.2417,
697,Port Blair,IN,81.46,overcast clouds,11.6667,92.75,
698,Lahaina,US,83.95,broken clouds,20.8783,-156.6825,
699,Stephenville,US,75.67,overcast clouds,32.2207,-98.2023,
704,Yazd,IR,82.51,clear sky,31.8972,54.3675,
717,Abu Zabad,SD,87.84,broken clouds,12.35,29.25,
721,Moundou,TD,84.45,overcast clouds,8.5667,16.0833,
723,Pathein,MM,79.7,overcast clouds,16.7833,94.7333,
